"foreign_language","race","sex","wealth","educ","log_wealth","log_educ"
0,1,2,235000,16,12.3673407931263,2.77258872223978
0,1,2,426975,16,12.9644807424874,2.77258872223978
0,1,2,315000,17,12.6603279178078,2.83321334405622
0,1,1,32000,12,10.3734911817819,2.484906649788
1,1,2,98000,11,11.4927227576527,2.39789527279837
1,1,2,179507,12,12.0979694833646,2.484906649788
0,0,1,191500,12,12.1626430876028,2.484906649788
0,0,2,135800,15,11.8189384941067,2.70805020110221
0,0,1,233000,17,12.3587937325478,2.83321334405622
0,1,2,3200,12,8.07090608878782,2.484906649788
0,0,1,254,12,5.53733426701854,2.484906649788
0,1,1,166500,12,12.0227505884026,2.484906649788
0,1,1,540000,11,13.1993244185405,2.39789527279837
0,1,2,215000,12,12.2783933071098,2.484906649788
0,1,2,1038700,12,13.8534804892159,2.484906649788
0,1,2,193700,12,12.1740658493951,2.484906649788
0,1,1,715500,16,13.4807368779786,2.77258872223978
0,1,1,417000,12,12.9408415007809,2.484906649788
0,1,2,667154,12,13.4107761828057,2.484906649788
0,1,1,2001450,20,14.5093824758387,2.99573227355399
0,1,1,556200,16,13.228883220782,2.77258872223978
0,1,1,903500,12,13.7140313890144,2.484906649788
0,1,1,640500,17,13.3700044003189,2.83321334405622
0,1,2,153700,16,11.9427579295267,2.77258872223978
0,1,1,589501,18,13.287031695311,2.89037175789616
0,1,2,146000,14,11.8913619006905,2.63905732961526
0,1,2,16449398,16,16.6157994387613,2.77258872223978
0,1,2,5374827,20,15.4972369454135,2.99573227355399
0,1,1,581000,14,13.272506035834,2.63905732961526
0,1,2,69500,17,11.1490820315529,2.83321334405622
0,1,2,5000,17,8.51719319141624,2.83321334405622
0,1,1,1620000,14,14.2979367072086,2.63905732961526
0,1,2,243000,14,12.4008167223227,2.63905732961526
0,1,2,3870000,16,15.168765065006,2.77258872223978
0,0,1,64500,16,11.0744205027839,2.77258872223978
0,0,1,182000,12,12.1117619660589,2.484906649788
0,1,1,126000,12,11.7440371859336,2.484906649788
0,1,1,648400,18,13.3822630688437,2.89037175789616
0,1,1,117000,12,11.6699292137799,2.484906649788
0,1,2,45500,13,10.725467604939,2.56494935746154
0,1,1,172000,12,12.0552497557956,2.484906649788
0,1,2,3000,16,8.00636756765025,2.77258872223978
0,1,2,10700,15,9.27799902045,2.70805020110221
0,1,2,262000,13,12.4760997827432,2.56494935746154
0,1,1,680500,14,13.4305831010737,2.63905732961526
1,1,2,800,12,6.68461172766793,2.484906649788
0,1,1,16000,12,9.68034400122192,2.484906649788
0,1,1,329700,12,12.7059384290598,2.484906649788
0,1,2,443000,13,13.0013250490273,2.56494935746154
0,1,1,7944,11,8.98017220572501,2.39789527279837
0,1,1,470500,12,13.0615512380076,2.484906649788
0,1,1,227000,12,12.3327052964635,2.484906649788
0,1,2,2500,12,7.82404601085629,2.484906649788
0,1,2,225500,13,12.3260754379249,2.56494935746154
0,1,2,219000,12,12.2968270087986,2.484906649788
0,1,2,878000,15,13.6854018726173,2.70805020110221
0,1,1,1854500,20,14.4331256759118,2.99573227355399
0,1,1,16449398,13,16.6157994387613,2.56494935746154
0,1,1,1620000,15,14.2979367072086,2.70805020110221
0,1,1,189000,12,12.1495022940418,2.484906649788
0,1,2,927654,13,13.7404140974168,2.56494935746154
0,1,2,147450,14,11.9012444142434,2.63905732961526
1,1,1,3008750,17,14.9170352680794,2.83321334405622
1,1,2,1306000,18,14.0824795888185,2.89037175789616
0,0,2,126400,14,11.7472067606949,2.63905732961526
0,0,2,278000,12,12.5353763926728,2.484906649788
0,1,2,175000,13,12.0725412529057,2.56494935746154
0,1,1,636550,12,13.3638182484898,2.484906649788
0,1,2,211400,13,12.2615073524183,2.56494935746154
0,1,1,144000,20,11.8775685785581,2.99573227355399
0,1,2,4230000,19,15.2577125510225,2.94443897916644
0,0,1,192350,12,12.1670719081804,2.484906649788
0,0,2,102200,16,11.5346869567517,2.77258872223978
0,0,2,38000,12,10.5453414387085,2.484906649788
0,0,2,3800,13,8.24275634571448,2.56494935746154
1,1,2,1407200,12,14.1571124724055,2.484906649788
0,1,2,1500,12,7.3132203870903,2.484906649788
0,1,1,1370000,12,14.1303212978043,2.484906649788
1,1,1,380250,14,12.8485842101215,2.63905732961526
0,1,2,642300,16,13.3728107632459,2.77258872223978
0,1,1,2007054,17,14.5121785332461,2.83321334405622
0,1,1,701400,16,13.4608336166882,2.77258872223978
0,1,1,97000,17,11.4824662574855,2.83321334405622
0,1,2,380500,12,12.8492414562839,2.484906649788
0,1,1,506312,16,13.13490835904,2.77258872223978
0,1,1,113800,12,11.6421978006744,2.484906649788
0,1,1,82000,14,11.3144745262464,2.63905732961526
0,1,1,127000,12,11.7519423654407,2.484906649788
0,1,2,608500,12,13.3187521914097,2.484906649788
0,1,1,1025000,16,13.8402031705546,2.77258872223978
0,1,2,575000,16,13.2621253197795,2.77258872223978
0,1,2,181000,15,12.106252310248,2.70805020110221
0,1,2,915300,16,13.7270071593729,2.77258872223978
1,1,1,910400,20,13.7216393423542,2.99573227355399
0,1,2,74550,16,11.2192253201929,2.77258872223978
1,1,1,373000,16,12.829333698626,2.77258872223978
1,1,1,890000,13,13.6989767417083,2.56494935746154
0,1,2,938000,16,13.7515052279884,2.77258872223978
0,1,2,16449398,18,16.6157994387613,2.89037175789616
0,1,1,11321,14,9.33441468707811,2.63905732961526
0,1,1,3896120,20,15.1754917440916,2.99573227355399
1,1,2,101300,14,11.5258416902368,2.63905732961526
1,1,2,456500,19,13.0313439790172,2.94443897916644
0,0,1,8400,13,9.03598698483141,2.56494935746154
0,0,2,100,13,4.60517018598809,2.56494935746154
0,0,2,294609,13,12.5934043324422,2.56494935746154
0,0,2,175250,16,12.0739688048968,2.77258872223978
0,1,2,163200,12,12.0027317215121,2.484906649788
0,0,1,139500,16,11.8458198802436,2.77258872223978
0,1,2,45000,12,10.7144177687525,2.484906649788
0,1,1,154000,13,11.9447078813958,2.56494935746154
0,1,1,446000,12,13.0080742310022,2.484906649788
1,1,2,9800,12,9.19013766465866,2.484906649788
0,1,2,230600,12,12.3484398868171,2.484906649788
0,1,2,500,13,6.21460809842219,2.56494935746154
0,1,2,16449398,13,16.6157994387613,2.56494935746154
0,1,1,614000,12,13.3277502071293,2.484906649788
0,1,1,50000,12,10.8197782844103,2.484906649788
0,1,2,232250,12,12.3555696566761,2.484906649788
0,1,1,1756914,12,14.3790694189024,2.484906649788
0,1,2,327451,12,12.6990937045429,2.484906649788
0,1,1,29500,19,10.2921455423279,2.94443897916644
0,1,1,206000,12,12.2356314477717,2.484906649788
0,1,1,1304000,16,14.0809470214687,2.77258872223978
1,1,1,586000,19,13.2810750685591,2.94443897916644
0,1,2,133000,12,11.7981044072039,2.484906649788
0,1,2,1360000,14,14.1229952577122,2.63905732961526
0,1,1,3616187,20,15.1009307137588,2.99573227355399
1,1,2,16449398,17,16.6157994387613,2.83321334405622
0,1,1,503500,16,13.1293389911408,2.77258872223978
0,1,1,472000,16,13.0647342645677,2.77258872223978
